日期,召回内容,链接
Fri Sep 10 11:06:32 +0800 2021,现在经济的形势，越来越接近2018年了cpi和ppi裂口不断扩大，大宗商品涨价但是居民消费品通胀起不来。归根结底是涨价涨的伤了民企的根，债务压力显现出来，老百姓不敢消费。国企饱了，民企栽了，国企舒服一会后民企拉着大家一起跳火坑，最后逼的央行和财政部再次宽松现在似乎已经进入这个模式的无限循环了 济南,https://m.weibo.cn/detail/4679835496222993
Fri Feb 26 10:55:34 +0800 2021,智力基本告别正常消费品了，建议使用带“儿童专用”的商品//@荒原上的信使Mostima:我寻思人都写了那玩意不是插头，你不听伤到自己还怪商家？铁弱智？//@我永遠喜歡時雨_:我本来就疑惑XM3配的转接为啥要写 请不要插入电源插座 现在我知道原因了。,https://m.weibo.cn/detail/4608804714710995
Sat Feb 28 11:05:58 +0800 2015,决策者和专家学者不在自身找原因，而责怪消费者有用吗？某些人能吃特供的安全商品，高端消费者没有特权但是有钱，他们到境外购买优质放心的消费品有错吗？国产奶粉有官方生产许可和质量检验合格，多次反复出现质量安全事故，伤透消费者的心，有条件的都拒绝了！,https://m.weibo.cn/detail/3815177910322822
Thu Mar 27 14:44:08 +0800 2014,普京被西方制裁伤到没？“ 中国有能力买下绝大多数俄罗斯的资源类商品，同时向俄罗斯出售它所需要的几乎一切工业设备和消费品。甚至单独为俄国提供开发贷款 。 ”  网页链接（分享自@凤凰新闻客户端） ,https://m.weibo.cn/detail/3692745719895627
Tue Nov 20 19:01:10 +0800 2012,【屋顶水泥块掉落伤人 开发商予以赔偿】邱女士在杂物间内取物时，因屋顶水泥块突然掉落砸伤头部，找开发商被拒。无奈之下，她向12315求助。经查情况属实。商品房作为消费品，给消费者的人身安全造成损害，开发商对消费者因水泥块掉落造成的损失应予以赔偿。经调解，开发商赔偿8000元，并整改。 ,https://m.weibo.cn/detail/3514515570645045
Tue Nov 20 15:17:13 +0800 2012,【屋顶水泥块掉落伤人 开发商予以赔偿】邱女士在杂物间内取物时，因屋顶水泥块突然掉落砸伤头部，找开发商被拒。无奈之下，她向12315求助。经查情况属实。商品房作为消费品，给消费者的人身安全造成损害，开发商对消费者因水泥块掉落造成的损失应予以赔偿。经调解，开发商赔偿8000元，并整改。 ,https://m.weibo.cn/detail/3514459215854340
Tue Sep 11 08:00:17 +0800 2012,【欧美消费品召回报告】召回商品：女童比基尼 召回原因：该产品可能会使儿童受伤。比基尼的颈部和背部绳带存在自由端，可能会给儿童造成勒伤、窒息的危险。该产品不符合相关欧盟标准EN14682. ,https://m.weibo.cn/detail/3488982098955075
Fri Jun 08 08:00:35 +0800 2012,【欧美消费品召回报告】召回商品：玩具电吉他 召回原因：玩具上的绳子太长，可能会勒伤儿童。此产品不符合玩具指令和欧盟标准EN71-1.家长们要注意啦！很多玩具对大人没有危险，但对于好奇心强，意识不到危险存在的儿童们却可能存在致命的危害呢！  ,https://m.weibo.cn/detail/3454555327548298
Sun Nov 13 22:58:48 +0800 2011,热闹，消磨，惯例，窝心，隐瞒，无谓，防备，温暖，逢迎，重视，虚荣，商品经济时代，爱情不是耐用品，也不是奢侈品，是快速消费品，玲琅满目，适时更换，冲动的火花闪烁，谁也伤不了谁。是这个年龄都麻木了，还是原来预想的定义就是错的。我身边的美女一直络绎不绝………的路过。难道城市真的有性格~~ ,https://m.weibo.cn/detail/3379404694688373
Thu Mar 10 13:37:19 +0800 2011,看到好几篇“喜欢XX的人你伤不起”，这是另类炒作吗？觉得很可笑！明星在商品社会是一种消费品，花了钱，听了歌，看着了电影，明星们的表现再好，不过是物超所值而已，也不值得崇拜啊，就像你在地摊花50元买了条裙子，别人都猜那是花800元买的，物超所值了吧，那你就崇拜这身裙子吧！ ,https://m.weibo.cn/detail/22111031017273255
